"username","Tindakan","Nominal","Keterangan","tweet"
"MbahVivi","[]","[]","['Pak', 'mohon', 'perhatikan']","Pak @jokowi mohon perhatikan ini, ini tidak adil! "
"Generasi_Kopi","['dipecat', 'ditangkap']","['satu ini']","['Tolong', 'Pak', 'manusia', 'sbg', 'PNS', 'Sy', 'tdk', 'rela', 'uang', 'rakyat', 'bayar', 'gaji', 'si', 'brengsek']","Tolong Pak @jokowi & @DivHumasPolri agar manusia satu ini dipecat sbg PNS & ditangkap. Sy tdk rela uang rakyat bayar gaji si brengsek ini..https://twitter.com/wakilgubernurKW/status/848509715034152961 …"
