"username","Tindakan","Nominal","Keterangan","tweet"
"joinsputra","['memiliki', 'menindak']","[]","['bayar', 'pajak', 'badan', 'hukum', 'pt', 'mohon', 'kebijakan', 'pak', 'presiden', 'joko', 'widodo', 'utk', 'perbuatan']","Selama ini bayar pajak & memiliki badan hukum pt, kami mohon atas kebijakan pak presiden joko widodo utk menindak tegas perbuatan itu"
"Yayad6874","['ada', 'siap', 'menjalankan']","['dua desa']","['Kec', 'Tempat', 'tugas', 'desa', 'yg', 'sistim', 'padat', 'karya', 'cash', 'PD', 'mohon', 'petunjuk', 'teknis', 'petunjuk', 'pelaksaanx', 'pak']","Di Kec. Tempat sy tugas ada dua desa yg sistim padat karya cash debagai PD siap menjalankan mohon petunjuk teknis dan petunjuk pelaksaanx pak"
"cahmeger","[]","[]","['RI', 'Yth', 'Bapak', 'Presiden', 'Tolong', 'selamatkan', 'anak', 'bangsa', 'pengaruh', 'globalisasi', 'informasi']","@kemkominfo @jokowi @KIPusat @DPR_RI 
Yth Bapak Presiden.  Tolong selamatkan anak bangsa ini dari pengaruh buruk globalisasi informasi."
"tottioke72","['berjuang', 'tertahan']","['8 th']","['bangga', 'bapak', 'Jokowiterus', 'bangun', 'negeri', 'cita', 'cita', 'pahlawan', 'utk', 'kemerdekaan', 'negeri', 'itupak', 'Jokowi', 'SDH', 'th', 'sertifikat', 'kantor', 'BPN', 'Semarangmohon', 'bantuannya']","Kami bangga dengan bapak Jokowi...terus bangun negeri ini
 seperti cita cita para pahlawan berjuang utk kemerdekaan negeri itu...pak Jokowi SDH 8 th sertifikat kami belum selesai..masih tertahan di di kantor BPN Semarang...mohon bantuannya ...."
